feature,mean,std,p05,p50,p95
visible_signal_gev,4.30019887206725,4.753108907134116,0.6775224859690415,2.9083742740290375,14.480412851891218
log1p_visible_signal,1.4235349474201109,0.6494901921269275,0.5173179940611083,1.3631215008406787,2.7395755378242055
ecal_signal_fraction,0.23283097274242112,0.30258952742741174,0.0,0.07221854694512028,0.8719114937226091
hcal_signal_fraction,0.7572904393030196,0.31103270097815194,0.11455122850461125,0.9238383249031966,1.0
hcal_back_leakage_proxy,0.0065096894981980305,0.030577573214458833,0.0,5.7918906493993195e-05,0.02981533550154883
axis_exit_min_margin_cm,-0.5366441994175003,402.26509060487166,-24.19139366023273,4.019609876973302,27.163915029236787
axis_exit_margin_x_cm,9.087919677720842,390.5242246638148,-17.30863666847717,15.175458425897311,31.48428819051731
axis_exit_margin_y_cm,8.344589919158828,116.98719713927477,-19.77664328371894,12.668924451359189,28.985795551937183
all_total_signal_gev,4.30019887206725,4.753108907134116,0.6775224859690415,2.9083742740290375,14.480412851891218
all_n_hits,1945.8847478448233,878.4259875762954,504.0,1908.0,3429.0
all_effective_n_hits,52.634117940568544,41.10846083155797,3.0235160732177753,48.28310791626741,128.39588231833304
all_axis_residual_rms_cm,7.9607472813512645,1.9555900876233565,4.877772246172384,8.128431732800045,10.778127344125823
all_pca_lambda1_frac,0.8391661124958549,0.12237046056796652,0.6860147215649784,0.8631045091414811,0.9483525359768163
hcal_depth_cum90_group,3.0413668323563985,1.445960898218061,1.0,3.0,6.0
hcal_back_energy_frac,0.0065096894981980305,0.030577573214458833,0.0,5.7918906493993195e-05,0.02981533550154883
ecal_front_energy_frac,0.5549238060965301,0.3444513158556832,0.0,0.6081637699005528,0.9988633727141374
