sample,feature,tail_p99_median,rest_median,tail_minus_rest,tail_over_rest
validation_focus,visible_signal_gev,0.4515091449337859,2.9692250382196153,-2.5177158932858292,0.15206295889398685
validation_focus,log1p_visible_signal,0.3726038047960012,1.3785708711655387,-1.0059670663695375,0.27028266198674017
validation_focus,ecal_signal_fraction,0.007585026394388905,0.07442689818395089,-0.06684187178956198,0.10191243460989094
validation_focus,hcal_signal_fraction,0.992414973605611,0.9255731018160491,0.06684187178956191,1.072216739724191
validation_focus,hcal_back_leakage_proxy,0.0,6.944408955176978e-05,-6.944408955176978e-05,0.0
validation_focus,axis_exit_min_margin_cm,-6.98351975169939,3.8502685410329995,-10.83378829273239,-1.8137747217563587
validation_focus,axis_exit_margin_x_cm,8.424622707818745,15.005752262360474,-6.581129554541729,0.5614262157952962
validation_focus,axis_exit_margin_y_cm,3.549843224269882,12.544579700046356,-8.994736475776474,0.28297825109730573
validation_focus,all_total_signal_gev,0.4515091449337859,2.9692250382196153,-2.5177158932858292,0.15206295889398685
validation_focus,all_n_hits,342.0,1931.0,-1589.0,0.17711030554117038
validation_focus,all_effective_n_hits,14.80696921352059,49.15810693542613,-34.351137721905545,0.3012111355909404
validation_focus,all_axis_residual_rms_cm,6.483664887197374,8.156959464271296,-1.6732945770739214,0.7948629529908537
validation_focus,all_pca_lambda1_frac,0.7395425713595198,0.8645398047271455,-0.12499723336762569,0.8554176075130796
validation_focus,hcal_depth_cum90_group,2.0,3.0,-1.0,0.6666666666666666
validation_focus,hcal_back_energy_frac,0.0,6.944408955176978e-05,-6.944408955176978e-05,0.0
validation_focus,ecal_front_energy_frac,0.1535466792424069,0.6156665989627302,-0.46211991972032335,0.24939907329892674
test_focus,visible_signal_gev,0.4850418036141395,2.976322873774088,-2.4912810701599484,0.16296679634057595
test_focus,log1p_visible_signal,0.3954429224403549,1.3803574911037342,-0.9849145686633793,0.28647862962235865
test_focus,ecal_signal_fraction,0.00782060449305716,0.07661884605690643,-0.06879824156384927,0.10207155152465533
test_focus,hcal_signal_fraction,0.9921793955069428,0.9233811539430936,0.06879824156384917,1.0745068721297393
test_focus,hcal_back_leakage_proxy,0.0,6.477534255574629e-05,-6.477534255574629e-05,0.0
test_focus,axis_exit_min_margin_cm,-6.566153884782452,3.8528622472489715,-10.419016132031423,-1.7042275231798982
test_focus,axis_exit_margin_x_cm,5.926373631967415,15.105103081262227,-9.178729449294812,0.3923424818807784
test_focus,axis_exit_margin_y_cm,4.9943512516413975,12.37463859568145,-7.3802873440400525,0.40359572629331947
test_focus,all_total_signal_gev,0.4850418036141395,2.976322873774088,-2.4912810701599484,0.16296679634057595
test_focus,all_n_hits,386.0,1937.0,-1551.0,0.1992772328342798
test_focus,all_effective_n_hits,16.712068049393025,49.194005337779984,-32.48193728838696,0.3397175719814483
test_focus,all_axis_residual_rms_cm,6.3815852413057055,8.159014901359186,-1.77742966005348,0.7821514384343895
test_focus,all_pca_lambda1_frac,0.7493994770568229,0.864637892679059,-0.11523841562223613,0.866720604546751
test_focus,hcal_depth_cum90_group,2.0,3.0,-1.0,0.6666666666666666
test_focus,hcal_back_energy_frac,0.0,6.477534255574629e-05,-6.477534255574629e-05,0.0
test_focus,ecal_front_energy_frac,0.22617139018966265,0.6174732440336648,-0.3913018538440021,0.36628532875722747
